account_id,fictional_account_name,segment,region,complexity_band,kickoff_date,committed_go_live_date,actual_go_live_date,projected_go_live_date,project_status,template_cohort,mapping_coverage,uat_pass_rate,recent_integration_success_rate,readiness_rate,days_to_committed_go_live,risk_status,risk_reason,next_action,first_value_date,time_to_first_value_days
ACCT-001,Demo Account 01,SMB,South,Standard,2025-08-02,2025-09-10,2025-09-12,2025-09-12,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-293,Green,Implementation completed,Monitor first-value adoption,2025-09-17,46
ACCT-002,Demo Account 02,SMB,Central,Standard,2025-08-08,2025-09-16,2025-09-13,2025-09-13,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-287,Green,Implementation completed,Monitor first-value adoption,2025-09-18,41
ACCT-003,Demo Account 03,Mid-Market,West,Advanced,2025-08-11,2025-10-05,2025-10-13,2025-10-13,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-268,Green,Implementation completed,Monitor first-value adoption,2025-10-19,69
ACCT-004,Demo Account 04,SMB,North,Standard,2025-08-17,2025-09-25,2025-10-01,2025-10-01,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-278,Green,Implementation completed,Monitor first-value adoption,2025-10-06,50
ACCT-005,Demo Account 05,Enterprise,South,Complex,2025-08-23,2025-11-09,2025-11-16,2025-11-16,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-233,Green,Implementation completed,Monitor first-value adoption,2025-11-21,90
ACCT-006,Demo Account 06,Mid-Market,Central,Advanced,2025-08-26,2025-10-20,2025-10-17,2025-10-17,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-253,Green,Implementation completed,Monitor first-value adoption,2025-10-23,58
ACCT-007,Demo Account 07,SMB,West,Standard,2025-09-01,2025-10-10,2025-10-07,2025-10-07,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-263,Green,Implementation completed,Monitor first-value adoption,2025-10-12,41
ACCT-008,Demo Account 08,SMB,North,Standard,2025-09-07,2025-10-16,2025-10-22,2025-10-22,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-257,Green,Implementation completed,Monitor first-value adoption,2025-10-27,50
ACCT-009,Demo Account 09,Mid-Market,South,Advanced,2025-09-10,2025-11-04,2025-11-06,2025-11-06,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-238,Green,Implementation completed,Monitor first-value adoption,2025-11-12,63
ACCT-010,Demo Account 10,Enterprise,Central,Complex,2025-09-16,2025-12-03,2025-12-11,2025-12-11,Completed,Legacy mapping,1.0,1.0,1.0,1.0,-209,Green,Implementation completed,Monitor first-value adoption,2025-12-16,91
