account_id,connector_id,connector_name,auth_type,environment,authorized_at,schema_version
ACCT-001,CRM,CRM Cloud,OAuth 2.0,Production,2025-08-14,v1
ACCT-001,BILLING,Billing API,API key,Production,2025-08-14,v1
ACCT-002,CRM,CRM Cloud,OAuth 2.0,Production,2025-08-20,v1
ACCT-002,BILLING,Billing API,API key,Production,2025-08-20,v1
ACCT-003,CRM,CRM Cloud,OAuth 2.0,Production,2025-08-26,v1
ACCT-003,BILLING,Billing API,API key,Production,2025-08-26,v1
ACCT-003,PRODUCT,Product Events,Bearer token,Production,2025-08-26,v1
ACCT-004,CRM,CRM Cloud,OAuth 2.0,Production,2025-08-29,v1
ACCT-004,BILLING,Billing API,API key,Production,2025-08-29,v1
ACCT-005,CRM,CRM Cloud,OAuth 2.0,Production,2025-09-10,v1
ACCT-005,BILLING,Billing API,API key,Production,2025-09-10,v1
ACCT-005,PRODUCT,Product Events,Bearer token,Production,2025-09-10,v1
ACCT-005,WAREHOUSE,Cloud Warehouse,Service account,Production,2025-09-10,v1
ACCT-006,CRM,CRM Cloud,OAuth 2.0,Production,2025-09-10,v1
ACCT-006,BILLING,Billing API,API key,Production,2025-09-10,v1
ACCT-006,PRODUCT,Product Events,Bearer token,Production,2025-09-10,v1
ACCT-007,CRM,CRM Cloud,OAuth 2.0,Production,2025-09-13,v1
ACCT-007,BILLING,Billing API,API key,Production,2025-09-13,v1
ACCT-008,CRM,CRM Cloud,OAuth 2.0,Production,2025-09-19,v1
ACCT-008,BILLING,Billing API,API key,Production,2025-09-19,v1
ACCT-009,CRM,CRM Cloud,OAuth 2.0,Production,2025-09-25,v1
ACCT-009,BILLING,Billing API,API key,Production,2025-09-25,v1
ACCT-009,PRODUCT,Product Events,Bearer token,Production,2025-09-25,v1
ACCT-010,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-04,v1
ACCT-010,BILLING,Billing API,API key,Production,2025-10-04,v1
ACCT-010,PRODUCT,Product Events,Bearer token,Production,2025-10-04,v1
ACCT-010,WAREHOUSE,Cloud Warehouse,Service account,Production,2025-10-04,v1
ACCT-011,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-04,v1
ACCT-011,BILLING,Billing API,API key,Production,2025-10-04,v1
ACCT-012,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-10,v1
ACCT-012,BILLING,Billing API,API key,Production,2025-10-10,v1
ACCT-012,PRODUCT,Product Events,Bearer token,Production,2025-10-10,v1
ACCT-013,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-13,v1
ACCT-013,BILLING,Billing API,API key,Production,2025-10-13,v1
ACCT-014,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-19,v1
ACCT-014,BILLING,Billing API,API key,Production,2025-10-19,v1
ACCT-015,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-28,v1
ACCT-015,BILLING,Billing API,API key,Production,2025-10-28,v1
ACCT-015,PRODUCT,Product Events,Bearer token,Production,2025-10-28,v1
ACCT-015,WAREHOUSE,Cloud Warehouse,Service account,Production,2025-10-28,v1
ACCT-016,CRM,CRM Cloud,OAuth 2.0,Production,2025-10-28,v1
ACCT-016,BILLING,Billing API,API key,Production,2025-10-28,v1
ACCT-017,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-03,v1
ACCT-017,BILLING,Billing API,API key,Production,2025-11-03,v1
ACCT-018,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-09,v1
ACCT-018,BILLING,Billing API,API key,Production,2025-11-09,v1
ACCT-018,PRODUCT,Product Events,Bearer token,Production,2025-11-09,v1
ACCT-019,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-12,v1
ACCT-019,BILLING,Billing API,API key,Production,2025-11-12,v1
ACCT-020,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-24,v1
ACCT-020,BILLING,Billing API,API key,Production,2025-11-24,v1
ACCT-020,PRODUCT,Product Events,Bearer token,Production,2025-11-24,v1
ACCT-020,WAREHOUSE,Cloud Warehouse,Service account,Production,2025-11-24,v1
ACCT-021,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-24,v1
ACCT-021,BILLING,Billing API,API key,Production,2025-11-24,v1
ACCT-021,PRODUCT,Product Events,Bearer token,Production,2025-11-24,v1
ACCT-022,CRM,CRM Cloud,OAuth 2.0,Production,2025-11-27,v1
ACCT-022,BILLING,Billing API,API key,Production,2025-11-27,v1
ACCT-023,CRM,CRM Cloud,OAuth 2.0,Production,2025-12-03,v1
ACCT-023,BILLING,Billing API,API key,Production,2025-12-03,v1
